id;type;action;name;path;request_user;request_date;status;status_date
1;e-business;Specialist Handmade;Haven Realigned;cross-platform;SSL Minnesota;2021-10-30T13:47:31;functionalities Legacy;2021-10-29T16:13:30
2;Dollar Configuration;silver;Garden;Fresh Palladium generate;yellow Bedfordshire;2021-10-29T19:26:50;Industrial;2021-10-30T10:59:30
3;COM;cultivate Avon;Sol;Associate Kuwait Cheese;Administrator e-services Tuna;2021-10-30T07:14:43;programming reciprocal;2021-10-30T05:37:14
4;Paradigm;Baby;Handmade;web-enabled Licensed;Wyoming;2021-10-29T20:13:15;productize;2021-10-29T22:01:20
5;deposit;dynamic;Metrics Integration strategy;Marino Executive open-source;Guinea-Bissau Buckinghamshire;2021-10-29T17:57:52;Representative Generic;2021-10-29T15:25:48
6;California;Mouse Licensed Analyst;deposit Research;interface Tennessee logistical;invoice purple;2021-10-30T09:19:33;indexing deliverables;2021-10-29T16:33:50
7;cultivate turquoise copying;Keyboard forecast indexing;Circles;Bouvet Buckinghamshire Keyboard;yellow Intelligent Home;2021-10-30T10:07:29;Montana Cheese auxiliary;2021-10-30T04:01:58
8;programming;orchestrate Gorgeous;Salad Pre-emptive Operations;Account Crossroad;Forward;2021-10-29T23:30:11;Directives;2021-10-30T01:58:09
9;calculate Avon Won;Utah Convertible;explicit;Associate Bike technologies;envisioneer;2021-10-30T00:12:12;harness;2021-10-29T20:44:43
10;XML Indiana backing;Gorgeous haptic capacitor;engage Optional calculate;Administrator;distributed Micronesia;2021-10-29T16:18:09;cross-media Utah;2021-10-30T06:32:37
